instituicao,uf,populacao,conta,estagio,valor,ano
Prefeitura Municipal de Porto Velho - RO,RO,529544,04.126 - Tecnologia da Informação,EMPENHADO,7949703.21,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,04.128 - Formação de Recursos Humanos,EMPENHADO,123040.0,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,04.129 - Administração de Receitas,EMPENHADO,45600.0,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,08 - Assistência Social,EMPENHADO,9845713.55,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,08.241 - Assistência ao Idoso,EMPENHADO,8800.0,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,08.243 - Assistência à Criança e ao Adolescente,EMPENHADO,129957.44,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,08.244 - Assistência Comunitária,EMPENHADO,6094371.15,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,08.122 - Administração Geral,EMPENHADO,3612584.96,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,09 - Previdência Social,EMPENHADO,1.2655023628E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,09.272 - Previdência do Regime Estatutário,EMPENHADO,1.1611439745E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,09.122 - Administração Geral,EMPENHADO,9944244.36,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10 - Saúde,EMPENHADO,3.9432456928E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.301 - Atenção Básica,EMPENHADO,3.290537167E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.302 - Assistência Hospitalar e Ambulatorial,EMPENHADO,9.403449828E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.303 - Suporte Profilático e Terapêutico,EMPENHADO,6464911.42,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.304 - Vigilância Sanitária,EMPENHADO,1555045.45,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.305 - Vigilância Epidemiológica,EMPENHADO,7553150.75,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,10.122 - Administração Geral,EMPENHADO,2.2891436858E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12 - Educação,EMPENHADO,3.1461993684E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.361 - Ensino Fundamental,EMPENHADO,1.6773965789E8,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.365 - Educação Infantil,EMPENHADO,4.121296762E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.366 - Educação de Jovens e Adultos,EMPENHADO,323367.0,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.367 - Educação Especial,EMPENHADO,43847.52,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,12.122 - Administração Geral,EMPENHADO,7.258688745E7,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,13 - Cultura,EMPENHADO,4577734.52,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,13.392 - Difusão Cultural,EMPENHADO,2896212.44,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,13.122 - Administração Geral,EMPENHADO,1681522.08,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,14 - Direitos da Cidadania,EMPENHADO,43621.32,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,14.122 - Administração Geral,EMPENHADO,43621.32,2020
Prefeitura Municipal de Porto Velho - RO,RO,529544,15 - Urbanismo,EMPENHADO,1.5503193894E8,2020
